Q1,-10.55,8.90,90.00,ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_MOSFET_PCH,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,-3.40,3.30,180.00,ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,16.90,-9.50,270.00,3K3,CPF0201D7K68C1_0201
R18,15.00,-10.50,0.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,0.00,3.60,180.00,0.47,CPF0201D7K68C1_0201
R1_TYPE_SEL,1.00,3.60,0.00,0.47,CPF0201D7K68C1_0201
R1_USB,1.90,10.40,270.00,5K1,CPF0201D7K68C1_0201
R2,17.20,-8.30,270.00,0,CPF0201D7K68C1_0201
R2_EP_DR,-0.90,1.70,180.00,10K,CPF0201D7K68C1_0201
R2_USB,-1.70,10.30,0.00,5K1,CPF0201D7K68C1_0201
R3,10.00,-7.10,0.00,0,CPF0201D7K68C1_0201
R4,16.40,-7.10,0.00,0,CPF0201D7K68C1_0201
R5,-1.60,-11.70,180.00,10K,CPF0201D7K68C1_0201
R7,-16.10,-12.60,180.00,10K,CPF0201D7K68C1_0201
R8,8.90,-11.70,270.00,10K,CPF0201D7K68C1_0201
R9,8.20,-9.70,0.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,-8.40,8.90,180.00,10K,CPF0201D7K68C1_0201
SJ1,0.50,1.20,90.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,-11.00,-13.93,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31A,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,10.90,-13.93,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31A,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
